ACC=0.679008, f1_macro=0.687104, precision_macro=0.695013, recall_macro=0.685507, f1_micro=0.679008, precision_micro=0.679008, recall_micro=0.679008, NMI=0.452179, ADJ_RAND_SCORE=0.403830
ACC=0.676033, f1_macro=0.684419, precision_macro=0.692093, recall_macro=0.682504, f1_micro=0.676033, precision_micro=0.676033, recall_micro=0.676033, NMI=0.450713, ADJ_RAND_SCORE=0.401745
ACC=0.676033, f1_macro=0.684419, precision_macro=0.692093, recall_macro=0.682504, f1_micro=0.676033, precision_micro=0.676033, recall_micro=0.676033, NMI=0.450713, ADJ_RAND_SCORE=0.401745
ACC=0.676364, f1_macro=0.684718, precision_macro=0.692416, recall_macro=0.682838, f1_micro=0.676364, precision_micro=0.676364, recall_micro=0.676364, NMI=0.450872, ADJ_RAND_SCORE=0.401972
ACC=0.676364, f1_macro=0.684718, precision_macro=0.692416, recall_macro=0.682838, f1_micro=0.676364, precision_micro=0.676364, recall_micro=0.676364, NMI=0.450872, ADJ_RAND_SCORE=0.401972
ACC=0.677355, f1_macro=0.685613, precision_macro=0.693388, recall_macro=0.683839, f1_micro=0.677355, precision_micro=0.677355, recall_micro=0.677355, NMI=0.451355, ADJ_RAND_SCORE=0.402660
ACC=0.702479, f1_macro=0.694918, precision_macro=0.730047, recall_macro=0.712050, f1_micro=0.702479, precision_micro=0.702479, recall_micro=0.702479, NMI=0.485888, ADJ_RAND_SCORE=0.451285
ACC=0.683967, f1_macro=0.689437, precision_macro=0.694317, recall_macro=0.690869, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.454736, ADJ_RAND_SCORE=0.416809
ACC=0.689587, f1_macro=0.694532, precision_macro=0.700847, recall_macro=0.696588, f1_micro=0.689587, precision_micro=0.689587, recall_micro=0.689587, NMI=0.454294, ADJ_RAND_SCORE=0.420082
ACC=0.684959, f1_macro=0.690494, precision_macro=0.696023, recall_macro=0.691869, f1_micro=0.684959, precision_micro=0.684959, recall_micro=0.684959, NMI=0.452639, ADJ_RAND_SCORE=0.415279
ACC=0.683967, f1_macro=0.689568, precision_macro=0.694891, recall_macro=0.690880, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.452718, ADJ_RAND_SCORE=0.415137
ACC=0.683967, f1_macro=0.689568, precision_macro=0.694891, recall_macro=0.690880, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.452718, ADJ_RAND_SCORE=0.415137
ACC=0.683967, f1_macro=0.689568, precision_macro=0.694891, recall_macro=0.690880, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.452718, ADJ_RAND_SCORE=0.415137
ACC=0.683967, f1_macro=0.689568, precision_macro=0.694891, recall_macro=0.690880, f1_micro=0.683967, precision_micro=0.683967, recall_micro=0.683967, NMI=0.452718, ADJ_RAND_SCORE=0.415137
